0.0	0.000014s
0.5	0.000009s

1.5	0.00003s
2.0	0.000013s

3.0	0.000019s
3.5	0.000018s

4.5	0.000064s
5.0	0.000025s

6.0	0.00098s
6.5	0.000032s

7.5	0.014255s
8.0	0.000045s

9.0	0.247609s
9.5	0.00005s

10.5	3.150077s
11.0	0.000055s

12.0	39.508576s
12.5	0.00006s
